Sample,BRCA,CEAD,CESC,COAD,OV,READ,bcell,cd4tcell,cd8tcell,erythroblast,monocyte,naturalkillercell,neutrophil
Colo_rep2_Dep6_Tu0.5,13.655,0.000,0.000,0.000,0.464,63.317,0.014,0.000,0.000,0.252,22.298,0.000,0.000
Colo_rep2_Dep6_Tu50,11.037,0.000,0.042,0.000,9.511,18.854,0.244,0.048,0.000,1.930,14.073,44.261,0.000
Colo_rep6_Dep6_Tu1,16.189,0.000,0.000,0.000,0.451,55.192,9.718,0.000,0.000,6.326,12.123,0.000,0.000
Colo_rep3_Dep6_Tu2,17.042,0.000,0.000,0.000,0.396,54.411,9.887,0.000,13.337,0.108,3.866,0.952,0.000
Colo_rep7_Dep6_Tu2,2.625,0.000,0.000,0.000,0.238,63.046,17.978,0.000,0.000,0.362,15.750,0.000,0.000
Colo_rep8_Dep6_Tu0.1,7.276,0.000,0.000,0.000,5.720,55.000,5.003,0.166,11.675,11.321,2.763,1.075,0.000
Colo_rep10_Dep6_Tu2,14.518,0.000,0.000,0.000,2.507,56.497,0.469,0.000,0.155,1.119,20.174,4.560,0.000
Colo_rep6_Dep6_Tu3,8.671,0.000,0.000,0.000,2.795,55.097,9.461,0.000,13.013,0.000,10.959,0.004,0.000
Colo_rep9_Dep6_Tu30,16.818,0.000,0.000,0.000,5.052,32.323,2.507,0.000,0.000,10.646,4.652,28.001,0.000
Colo_rep9_Dep6_Tu0.5,13.980,0.000,0.000,0.000,5.265,57.222,0.175,0.000,3.568,0.153,19.637,0.000,0.000
Colo_rep6_Dep6_Tu20,11.721,0.000,0.000,0.000,0.167,40.393,0.543,0.000,12.063,0.500,14.138,20.360,0.115
Colo_rep8_Dep6_Tu30,14.338,0.000,0.000,0.000,1.687,36.380,2.335,0.000,0.000,1.644,15.341,28.276,0.000
Colo_rep3_Dep6_Tu5,11.165,0.000,0.000,0.000,3.085,56.174,5.300,0.000,0.000,4.331,16.445,3.500,0.000
Colo_rep4_Dep6_Tu3,7.278,0.000,0.000,0.000,5.946,58.086,2.053,0.000,0.050,17.899,8.687,0.000,0.000
Colo_rep2_Dep6_Tu10,11.873,0.000,0.000,0.000,1.130,52.424,1.447,0.000,0.296,3.898,19.768,9.163,0.000
Colo_rep3_Dep6_Tu40,19.659,0.000,0.000,0.000,4.289,27.851,1.156,0.241,0.027,8.367,2.569,35.840,0.000
Colo_rep3_Dep6_Tu30,15.899,0.000,0.813,0.000,0.907,37.224,1.864,0.000,0.000,0.835,16.742,25.715,0.000
Colo_rep6_Dep6_Tu30,12.039,0.000,0.000,0.000,13.215,28.600,0.000,0.000,11.236,7.015,1.658,26.237,0.000
Colo_rep4_Dep6_Tu50,10.836,0.000,0.400,0.000,0.000,23.167,6.261,2.682,4.287,8.789,4.155,39.424,0.000
Colo_rep5_Dep6_Tu50,12.839,0.000,0.250,0.000,1.810,21.517,0.770,0.000,0.009,1.607,12.985,48.212,0.000
Colo_rep6_Dep6_Tu2,9.990,0.000,0.000,0.000,8.682,48.140,0.101,0.000,22.041,9.099,1.806,0.140,0.000
Colo_rep10_Dep6_Tu50,9.530,0.000,0.000,0.000,7.503,18.079,4.237,0.000,1.771,5.473,7.874,45.533,0.000
Colo_rep7_Dep6_Tu50,6.856,0.000,0.830,0.000,0.210,24.139,5.570,1.706,0.000,3.392,12.059,45.237,0.000
Colo_rep9_Dep6_Tu40,12.604,0.000,0.217,0.000,5.508,25.088,3.484,3.364,0.028,8.252,8.013,33.441,0.000
Colo_rep8_Dep6_Tu5,7.936,0.000,0.000,0.000,6.670,51.119,9.065,0.000,10.862,7.567,2.990,3.791,0.000
Colo_rep1_Dep6_Tu20,9.154,0.000,0.000,0.000,10.211,37.267,0.170,0.019,16.352,5.329,1.776,19.722,0.000
Colo_rep9_Dep6_Tu2,14.770,0.000,0.000,0.000,10.269,53.249,0.359,0.000,0.000,0.000,21.353,0.000,0.000
Colo_rep5_Dep6_Tu30,3.558,0.000,0.000,0.000,9.030,35.836,14.103,0.000,0.000,0.000,11.840,25.633,0.000
Colo_rep4_Dep6_Tu0.1,7.137,0.000,0.000,0.000,0.262,62.985,18.782,0.000,0.000,0.433,10.402,0.000,0.000
Colo_rep5_Dep6_Tu0.1,14.280,0.000,0.000,0.000,0.426,60.940,5.430,0.000,0.000,0.000,18.925,0.000,0.000
Colo_rep9_Dep6_Tu3,22.628,0.000,0.000,0.000,3.102,48.932,2.883,0.000,0.314,15.349,6.792,0.000,0.000
Colo_rep2_Dep6_Tu0.1,14.404,0.000,0.000,0.000,1.174,53.160,0.266,0.000,2.197,17.576,11.223,0.000,0.000
Colo_rep8_Dep6_Tu10,7.438,0.000,0.000,0.000,0.472,49.421,11.963,0.000,8.305,12.607,1.579,8.214,0.000
Colo_rep4_Dep6_Tu30,9.939,0.000,0.000,0.000,0.238,39.517,0.333,0.000,0.563,1.337,19.599,28.455,0.019
Colo_rep2_Dep6_Tu2,3.891,0.000,0.000,0.000,1.151,58.739,10.342,0.000,12.861,0.014,10.936,2.066,0.000
Colo_rep1_Dep6_Tu5,7.632,0.000,0.000,0.000,0.312,54.395,3.675,0.000,15.189,0.000,16.749,2.047,0.000
Colo_rep8_Dep6_Tu50,14.379,0.000,0.029,0.000,12.647,15.516,1.942,0.136,0.495,8.721,1.326,44.810,0.000
Colo_rep5_Dep6_Tu5,9.567,0.000,0.000,0.000,11.322,48.523,8.312,0.000,8.190,9.184,2.181,2.721,0.000
Colo_rep6_Dep6_Tu50,14.308,0.000,0.000,0.000,12.446,17.052,0.748,2.134,7.914,4.265,2.345,38.786,0.000
Colo_rep5_Dep6_Tu0.5,18.033,0.000,0.000,0.000,2.469,63.807,0.693,0.000,0.000,0.078,14.920,0.000,0.000
Colo_rep4_Dep6_Tu20,11.006,0.000,0.000,0.000,9.802,39.176,6.138,0.000,0.208,6.115,5.218,22.337,0.000
Colo_rep8_Dep6_Tu40,11.131,0.000,0.173,0.000,6.043,26.415,0.390,0.779,0.032,1.384,15.153,38.499,0.000
Colo_rep7_Dep6_Tu0.3,16.667,0.000,0.000,0.000,9.283,54.200,0.000,0.000,0.000,0.845,19.004,0.000,0.000
Colo_rep7_Dep6_Tu30,4.448,0.000,0.152,0.000,9.209,34.614,0.015,3.677,0.000,1.512,15.013,31.360,0.000
Colo_rep10_Dep6_Tu20,7.021,0.000,0.151,0.000,0.919,43.627,10.534,0.000,4.138,13.024,1.965,18.620,0.000
Colo_rep9_Dep6_Tu10,16.187,0.000,0.000,0.000,7.629,50.589,4.532,0.000,0.000,13.022,4.429,3.610,0.000
Colo_rep9_Dep6_Tu0.1,9.567,0.000,0.000,0.000,1.120,50.904,13.330,0.000,9.555,12.941,2.582,0.000,0.000
Colo_rep10_Dep6_Tu0.3,9.792,0.000,0.000,0.000,8.738,48.752,0.041,0.000,22.280,8.770,1.627,0.000,0.000
Colo_rep8_Dep6_Tu20,17.705,0.000,0.000,0.000,5.074,37.046,2.202,0.000,0.649,11.317,5.250,20.757,0.000
Colo_rep3_Dep6_Tu3,15.883,0.000,0.000,0.017,0.275,53.128,3.496,0.000,1.004,6.795,17.952,1.389,0.059
Colo_rep4_Dep6_Tu2,18.741,0.000,0.000,0.000,2.739,54.506,0.832,0.000,1.346,14.884,6.952,0.000,0.000
Colo_rep10_Dep6_Tu0.1,8.915,0.000,0.000,0.000,0.346,55.899,16.802,0.000,3.531,13.037,1.469,0.000,0.000
Colo_rep4_Dep6_Tu0.3,17.230,0.000,0.000,0.000,0.438,55.046,8.108,0.000,0.124,7.410,11.644,0.000,0.000
Colo_rep9_Dep6_Tu0.3,16.606,0.000,0.000,0.080,0.281,65.331,0.000,0.000,0.039,0.459,17.204,0.000,0.000
Colo_rep1_Dep6_Tu10,12.739,0.000,0.000,0.000,2.823,43.297,13.340,0.000,3.426,11.641,3.062,9.670,0.000
Colo_rep6_Dep6_Tu0.3,26.148,0.000,0.000,0.000,0.471,49.462,2.146,0.000,0.207,15.006,6.558,0.000,0.000
Colo_rep6_Dep6_Tu0.5,6.516,0.000,0.000,0.000,0.757,56.183,15.535,0.000,4.254,13.203,3.551,0.000,0.000
Colo_rep10_Dep6_Tu10,8.657,0.000,0.000,0.000,3.938,47.795,4.167,0.316,14.455,10.111,5.379,5.181,0.000
Colo_rep10_Dep6_Tu1,8.539,0.000,0.000,0.000,3.536,51.744,15.374,0.000,0.000,15.075,5.731,0.000,0.000
Colo_rep10_Dep6_Tu5,15.200,0.000,0.000,0.009,1.628,48.352,0.635,0.000,4.363,14.605,8.659,6.549,0.000
Colo_rep10_Dep6_Tu40,14.694,0.000,0.000,0.000,2.495,25.666,2.555,0.000,0.024,7.009,9.533,38.024,0.000
Colo_rep10_Dep6_Tu0.5,12.526,0.000,0.000,0.000,5.463,48.764,16.379,0.000,3.648,9.969,3.251,0.000,0.000
Colo_rep1_Dep6_Tu1,5.071,0.000,0.000,0.000,0.298,56.719,19.799,0.000,0.927,14.248,2.937,0.000,0.000
Colo_rep7_Dep6_Tu20,11.092,0.000,0.048,0.000,7.953,42.443,0.483,0.645,0.000,1.141,19.060,17.134,0.000
Colo_rep6_Dep6_Tu10,15.096,0.000,0.000,0.004,5.002,47.306,0.944,0.000,0.000,11.845,7.107,11.674,1.021
Colo_rep10_Dep6_Tu3,12.826,0.000,0.000,0.379,0.303,61.067,0.000,0.000,0.000,0.271,22.309,2.845,0.000
Colo_rep1_Dep6_Tu30,11.939,0.000,0.000,0.000,1.443,36.657,0.417,0.000,0.127,4.107,17.072,28.238,0.000
Colo_rep1_Dep6_Tu0.1,10.637,0.000,0.000,0.000,0.307,64.268,5.879,0.000,0.000,0.000,18.908,0.000,0.000
Colo_rep7_Dep6_Tu5,9.429,0.000,0.000,0.000,4.296,52.931,11.021,0.332,8.401,0.228,7.561,5.801,0.000
Colo_rep7_Dep6_Tu0.1,12.918,0.000,0.000,0.000,6.675,57.190,0.944,1.650,0.568,0.131,19.924,0.000,0.000
Colo_rep6_Dep6_Tu40,12.533,0.000,0.091,0.000,0.505,29.060,1.062,0.000,0.110,3.704,14.430,38.505,0.000
Colo_rep8_Dep6_Tu2,16.549,0.000,0.000,0.000,1.076,55.701,7.297,0.000,0.000,16.023,3.279,0.074,0.000
Colo_rep7_Dep6_Tu0.5,9.116,0.000,0.000,0.000,0.237,53.902,3.127,0.000,14.884,0.102,18.631,0.000,0.000
Colo_rep5_Dep6_Tu20,10.142,0.000,0.000,0.000,1.301,40.331,11.869,0.000,1.381,15.098,0.998,18.879,0.000
Colo_rep8_Dep6_Tu0.3,16.400,0.000,0.000,0.002,0.315,65.434,0.000,0.000,0.051,0.468,17.330,0.000,0.000
Colo_rep4_Dep6_Tu5,9.398,0.000,0.000,0.000,12.264,44.359,1.893,0.000,15.214,12.330,2.561,1.981,0.000
Colo_rep9_Dep6_Tu1,12.543,0.000,0.000,0.000,0.350,59.858,6.125,0.000,0.000,0.000,21.123,0.000,0.000
Colo_rep1_Dep6_Tu0.5,11.779,0.000,0.000,0.000,1.781,53.907,9.915,0.000,7.734,0.000,14.883,0.000,0.000
Colo_rep8_Dep6_Tu3,5.384,0.000,0.000,0.000,2.166,56.341,0.000,0.000,0.000,22.298,12.450,1.361,0.000
Colo_rep5_Dep6_Tu0.3,12.072,0.000,0.000,0.000,11.052,45.576,0.682,0.000,17.622,10.914,2.081,0.000,0.000
Colo_rep2_Dep6_Tu30,12.167,0.000,2.099,0.000,1.752,41.062,0.157,1.233,0.000,0.383,14.971,26.176,0.000
Colo_rep7_Dep6_Tu10,14.106,0.000,0.000,0.000,5.624,49.913,0.763,0.000,2.758,1.109,20.137,5.589,0.000
Colo_rep2_Dep6_Tu40,9.585,0.000,0.132,0.000,1.017,30.240,11.951,0.000,0.115,10.011,3.817,33.132,0.000
Colo_rep3_Dep6_Tu0.1,22.262,0.000,0.000,0.000,7.012,52.326,1.888,0.000,0.000,11.275,5.237,0.000,0.000
Colo_rep3_Dep6_Tu1,21.723,0.000,0.000,0.000,5.203,52.073,4.051,0.000,0.000,13.801,3.149,0.000,0.000
Colo_rep8_Dep6_Tu1,11.979,0.000,0.000,0.039,2.692,57.345,2.423,0.000,0.032,20.599,4.891,0.000,0.000
Colo_rep4_Dep6_Tu1,10.871,0.000,0.000,0.000,5.392,49.984,16.074,0.000,1.181,13.076,3.421,0.000,0.000
Colo_rep5_Dep6_Tu40,8.299,0.000,0.188,0.000,4.162,29.717,6.888,4.207,0.000,5.075,8.605,32.858,0.000
Colo_rep5_Dep6_Tu10,14.819,0.000,0.000,0.017,8.857,46.338,1.255,0.000,0.284,16.449,7.000,4.980,0.000
Colo_rep2_Dep6_Tu0.3,5.637,0.000,0.000,0.000,2.111,56.927,0.084,0.000,0.000,22.655,12.586,0.000,0.000
Colo_rep10_Dep6_Tu30,14.064,0.000,1.367,0.000,1.987,37.056,2.436,0.000,0.583,0.863,15.221,26.422,0.000
Colo_rep1_Dep6_Tu40,7.686,0.000,1.075,0.000,4.933,31.094,0.753,0.000,0.188,13.138,8.880,32.255,0.000
Colo_rep6_Dep6_Tu0.1,6.548,0.000,0.000,0.000,0.285,56.335,10.459,0.000,14.864,0.000,11.509,0.000,0.000
Colo_rep7_Dep6_Tu40,14.962,0.000,0.000,0.000,11.685,25.419,0.506,0.000,0.000,5.889,5.732,35.807,0.000
Colo_rep1_Dep6_Tu50,11.915,0.000,0.041,0.000,1.243,17.844,4.895,0.000,0.066,10.786,4.238,48.971,0.000
Colo_rep1_Dep6_Tu0.3,17.183,0.000,0.000,0.000,0.150,54.131,10.196,0.000,13.143,0.111,5.085,0.000,0.000
Colo_rep9_Dep6_Tu20,9.923,0.000,0.000,0.000,1.658,42.054,11.497,0.207,5.987,0.240,12.792,15.642,0.000
Colo_rep4_Dep6_Tu10,16.398,0.000,0.340,0.000,4.468,49.269,1.312,0.000,0.000,0.000,17.512,10.701,0.000
Colo_rep6_Dep6_Tu5,2.807,0.000,0.000,0.000,0.209,58.271,11.695,0.000,10.306,0.380,13.563,2.768,0.000
Colo_rep9_Dep6_Tu5,12.580,0.000,0.000,0.000,1.114,47.696,3.984,0.000,15.049,10.158,9.369,0.049,0.000
Colo_rep3_Dep6_Tu50,11.167,0.000,0.024,0.000,2.887,22.881,5.690,0.025,0.000,1.654,9.015,46.656,0.000
Colo_rep5_Dep6_Tu1,12.216,0.000,0.000,0.000,0.395,47.092,4.129,0.000,16.187,10.026,9.955,0.000,0.000
Colo_rep5_Dep6_Tu3,15.557,0.000,0.000,0.000,9.116,55.907,0.163,0.000,0.000,1.119,17.925,0.213,0.000
Colo_rep2_Dep6_Tu1,12.217,0.000,0.000,0.000,3.779,57.162,0.000,0.000,13.884,0.000,12.957,0.000,0.000
Colo_rep7_Dep6_Tu1,15.197,0.000,0.000,0.000,0.375,62.249,3.022,0.000,0.000,0.579,18.578,0.000,0.000
Colo_rep5_Dep6_Tu2,10.972,0.000,0.000,0.000,9.233,48.516,0.755,0.000,21.760,7.104,1.660,0.000,0.000
Colo_rep4_Dep6_Tu40,15.220,0.000,0.281,0.000,4.970,21.929,0.163,0.000,0.000,2.008,17.450,37.979,0.000
Colo_rep2_Dep6_Tu20,6.519,0.000,0.000,0.000,5.706,40.940,10.625,0.407,4.635,0.000,10.925,20.243,0.000
Colo_rep4_Dep6_Tu0.5,8.137,0.000,0.000,0.000,1.344,54.750,18.097,0.000,0.000,16.298,1.374,0.000,0.000
Colo_rep2_Dep6_Tu5,6.301,0.000,0.000,0.012,2.109,56.567,0.080,0.000,0.000,22.455,12.047,0.000,0.428
Colo_rep2_Dep6_Tu3,13.823,0.000,0.000,0.000,7.681,58.474,0.000,0.000,0.000,6.138,13.883,0.000,0.000
Colo_rep3_Dep6_Tu10,6.820,0.000,0.154,0.000,0.006,56.417,14.667,0.000,5.564,0.000,9.551,6.821,0.000
Colo_rep8_Dep6_Tu0.5,7.985,0.000,0.000,0.000,2.410,55.859,11.300,0.000,8.264,0.000,14.181,0.000,0.000
Colo_rep7_Dep6_Tu3,9.308,0.000,0.000,0.000,13.337,48.155,6.292,0.000,10.261,10.013,2.078,0.556,0.000
Colo_rep3_Dep6_Tu0.5,26.122,0.000,0.000,0.000,0.516,49.394,2.135,0.000,0.195,15.079,6.559,0.000,0.000
Colo_rep3_Dep6_Tu20,12.737,0.000,1.561,0.000,0.486,46.214,0.151,2.780,2.683,1.398,14.235,17.753,0.000
Colo_rep1_Dep6_Tu2,10.976,0.000,0.000,0.000,0.306,57.443,5.196,0.000,0.000,6.893,19.186,0.000,0.000
Colo_rep9_Dep6_Tu50,8.241,0.000,0.619,0.000,9.447,18.867,0.000,0.000,0.000,4.441,11.166,47.219,0.000
Colo_rep3_Dep6_Tu0.3,7.877,0.000,0.000,0.000,2.669,55.610,11.267,0.000,8.409,0.000,14.168,0.000,0.000
Colo_rep1_Dep6_Tu3,17.186,0.000,0.000,0.000,0.148,52.203,10.865,0.000,7.310,0.232,8.143,3.912,0.000
Br62_rep5_Dep6_Tu0.5,18.118,0.000,0.000,0.000,2.751,63.802,1.031,0.000,0.028,0.080,14.189,0.000,0.000
Br62_rep5_Dep6_Tu3,15.655,0.000,0.000,1.791,6.813,56.284,0.000,0.000,0.000,1.285,18.171,0.000,0.000
Br62_rep6_Dep6_Tu30,5.293,0.000,23.299,4.429,15.569,31.218,0.439,0.000,9.128,5.887,4.739,0.000,0.000
Br62_rep7_Dep6_Tu20,9.292,0.000,20.457,3.700,6.403,43.004,0.000,0.000,0.000,0.000,17.144,0.000,0.000
Br62_rep2_Dep6_Tu40,5.361,0.000,41.705,6.654,0.910,30.242,13.607,0.000,0.419,0.000,1.101,0.000,0.000
Br62_rep8_Dep6_Tu0.5,7.840,0.000,0.000,0.000,3.108,54.589,10.749,0.000,9.383,0.000,14.330,0.000,0.000
Br62_rep5_Dep6_Tu2,9.573,0.000,0.000,0.027,9.496,48.624,1.117,0.000,21.920,6.678,2.565,0.000,0.000
Br62_rep4_Dep6_Tu50,2.893,0.000,51.948,5.438,10.193,17.794,0.000,0.000,0.000,0.000,11.734,0.000,0.000
Br62_rep8_Dep6_Tu40,4.046,0.000,40.085,7.660,5.318,25.501,0.000,0.000,0.000,0.000,16.518,0.000,0.871
Br62_rep7_Dep6_Tu2,2.852,0.000,0.000,0.000,0.433,63.031,17.608,0.000,0.000,0.465,15.610,0.000,0.000
Br62_rep9_Dep6_Tu40,5.859,0.000,47.028,4.094,11.921,24.667,0.000,0.000,0.000,0.000,6.431,0.000,0.000
Br62_rep10_Dep6_Tu2,13.702,0.000,0.000,1.190,4.119,57.828,0.803,0.000,0.079,1.356,20.923,0.000,0.000
Br62_rep6_Dep6_Tu10,14.159,0.000,0.000,1.874,5.025,49.359,0.000,0.000,0.000,14.339,10.511,0.000,4.733
Br62_rep2_Dep6_Tu2,3.233,0.000,0.000,0.004,0.466,59.905,10.386,0.000,13.356,0.000,12.288,0.360,0.000
Br62_rep9_Dep6_Tu5,13.030,0.000,0.000,0.273,1.434,46.325,3.390,0.000,15.690,9.963,9.766,0.000,0.129
Br62_rep6_Dep6_Tu40,2.623,0.000,43.487,6.429,0.909,30.808,0.000,0.000,0.000,0.000,15.744,0.000,0.000
Br62_rep4_Dep6_Tu20,10.435,0.000,20.454,3.992,14.921,38.145,3.727,0.000,0.000,3.905,4.421,0.000,0.000
Br62_rep9_Dep6_Tu1,13.765,0.000,0.000,0.021,0.616,58.982,5.675,0.000,0.000,0.000,20.940,0.000,0.000
Br62_rep1_Dep6_Tu0.3,17.021,0.000,0.000,0.000,0.237,54.172,10.085,0.000,12.814,0.084,5.587,0.000,0.000
Br62_rep3_Dep6_Tu5,10.628,0.000,3.990,0.527,2.504,54.501,6.292,0.000,0.000,4.872,16.686,0.000,0.000
Br62_rep9_Dep6_Tu50,0.004,0.000,45.580,8.090,10.941,20.238,0.000,0.000,0.000,0.000,15.146,0.000,0.000
Br62_rep5_Dep6_Tu30,1.299,0.000,28.436,5.596,7.455,33.728,9.785,0.000,0.000,0.000,13.348,0.000,0.353
Br62_rep9_Dep6_Tu0.5,14.424,0.000,0.000,0.000,4.835,57.377,0.158,0.000,3.447,0.291,19.468,0.000,0.000
Br62_rep1_Dep6_Tu20,5.657,0.000,22.157,0.881,10.891,39.202,0.000,0.000,17.769,1.403,2.041,0.000,0.000
Br62_rep4_Dep6_Tu2,18.612,0.000,0.000,0.768,3.087,53.305,0.590,0.000,1.992,14.205,7.440,0.000,0.000
Br62_rep8_Dep6_Tu3,4.973,0.000,0.000,0.401,3.050,56.140,0.000,0.000,0.004,22.330,13.102,0.000,0.000
Br62_rep2_Dep6_Tu5,5.154,0.000,2.105,0.907,2.207,54.962,0.000,0.000,0.000,21.900,12.764,0.000,0.000
Br62_rep2_Dep6_Tu1,11.533,0.000,0.000,0.000,4.838,56.344,0.000,0.000,14.667,0.000,12.617,0.000,0.000
Br62_rep8_Dep6_Tu1,12.115,0.000,0.000,0.066,2.813,57.276,2.360,0.000,0.018,20.496,4.833,0.000,0.023
Br62_rep10_Dep6_Tu0.1,8.400,0.000,0.000,0.000,0.314,55.853,17.106,0.000,3.469,13.242,1.615,0.000,0.000
Br62_rep3_Dep6_Tu40,2.927,0.000,45.860,8.099,12.946,25.417,0.000,0.000,0.000,0.000,4.750,0.000,0.000
Br62_rep8_Dep6_Tu0.3,16.677,0.000,0.000,0.585,0.287,64.571,0.000,0.000,0.000,0.000,17.879,0.000,0.000
Br62_rep4_Dep6_Tu0.5,8.030,0.000,0.000,0.000,1.754,54.511,17.917,0.000,0.000,16.166,1.622,0.000,0.000
Br62_rep6_Dep6_Tu50,3.611,0.000,44.675,7.280,15.729,20.454,0.000,0.000,0.000,0.000,8.250,0.000,0.000
Br62_rep7_Dep6_Tu0.1,12.823,0.000,0.000,0.000,6.544,56.894,0.587,1.729,1.934,0.193,19.294,0.000,0.000
Br62_rep9_Dep6_Tu30,15.952,0.000,30.188,1.710,4.830,34.681,0.000,0.000,0.000,6.976,5.663,0.000,0.000
Br62_rep6_Dep6_Tu20,5.585,0.000,16.497,1.214,0.810,42.303,0.516,0.000,15.692,0.130,17.252,0.000,0.000
Br62_rep5_Dep6_Tu5,8.153,0.000,0.000,0.316,11.927,48.816,7.256,0.000,10.148,10.587,2.797,0.000,0.000
Br62_rep4_Dep6_Tu40,5.094,0.000,35.612,8.006,8.275,24.820,0.000,0.000,0.000,0.000,18.193,0.000,0.000
Br62_rep8_Dep6_Tu0.1,7.671,0.000,0.000,0.000,5.525,54.521,5.047,0.207,11.602,11.284,2.799,1.345,0.000
Br62_rep1_Dep6_Tu40,0.000,0.000,41.463,7.625,13.342,27.720,0.000,0.000,0.000,0.000,9.850,0.000,0.000
Br62_rep3_Dep6_Tu30,8.551,0.000,32.726,4.012,2.551,36.572,0.000,0.000,0.000,0.000,15.588,0.000,0.000
Br62_rep7_Dep6_Tu0.5,8.924,0.000,0.000,0.000,0.353,53.815,3.540,0.000,14.850,0.075,18.444,0.000,0.000
Br62_rep1_Dep6_Tu10,12.251,0.000,0.000,1.454,7.330,44.892,15.066,0.000,1.669,10.445,6.894,0.000,0.000
Br62_rep10_Dep6_Tu20,5.490,0.000,24.259,0.426,2.803,44.706,12.279,0.000,7.757,0.000,2.280,0.000,0.000
Br62_rep1_Dep6_Tu5,8.300,0.000,0.000,1.742,1.133,53.646,3.755,0.000,13.625,0.000,17.799,0.000,0.000
Br62_rep3_Dep6_Tu50,1.702,0.000,45.272,8.784,5.399,27.644,0.000,0.000,0.000,0.000,11.199,0.000,0.000
Br62_rep1_Dep6_Tu3,16.548,0.000,0.000,0.795,0.517,53.655,10.334,0.000,8.241,0.123,9.445,0.323,0.019
Br62_rep7_Dep6_Tu30,3.360,0.000,35.741,2.308,0.000,38.814,0.000,0.000,0.000,0.000,14.610,0.000,5.166
Br62_rep6_Dep6_Tu1,15.854,0.069,0.000,0.000,0.357,55.230,10.655,0.000,0.000,4.922,12.913,0.000,0.000
Br62_rep1_Dep6_Tu0.5,11.795,0.000,0.000,0.000,2.592,53.554,10.399,0.000,6.655,0.000,15.005,0.000,0.000
Br62_rep1_Dep6_Tu0.1,10.507,0.000,0.000,0.000,0.357,64.322,5.891,0.000,0.000,0.000,18.922,0.000,0.000
Br62_rep9_Dep6_Tu3,22.663,0.000,0.000,0.077,3.095,48.340,3.403,0.000,0.276,15.138,7.008,0.000,0.000
Br62_rep5_Dep6_Tu40,0.000,0.000,34.390,6.427,12.707,30.275,4.283,0.000,0.000,0.854,11.064,0.000,0.000
Br62_rep10_Dep6_Tu3,11.523,0.000,1.600,0.161,0.738,62.424,0.000,0.000,0.000,0.000,23.554,0.000,0.000
Br62_rep2_Dep6_Tu0.3,5.759,0.000,0.000,0.000,1.876,57.034,0.038,0.000,0.000,22.578,12.716,0.000,0.000
Br62_rep10_Dep6_Tu40,6.859,0.000,39.995,4.339,3.620,27.055,1.368,0.000,0.000,0.000,16.763,0.000,0.000
Br62_rep3_Dep6_Tu2,16.843,0.000,0.000,0.000,1.992,53.745,9.194,0.000,13.050,0.105,5.069,0.000,0.000
Br62_rep5_Dep6_Tu1,12.098,0.000,0.000,0.020,0.470,47.071,3.877,0.000,17.139,9.457,9.868,0.000,0.000
Br62_rep4_Dep6_Tu1,10.530,0.000,0.000,0.000,6.005,49.619,16.485,0.000,1.184,12.778,3.397,0.000,0.000
Br62_rep10_Dep6_Tu0.5,12.045,0.000,0.000,0.000,6.129,48.989,16.038,0.000,3.242,10.013,3.543,0.000,0.000
Br62_rep5_Dep6_Tu20,5.425,0.000,21.932,1.697,2.436,42.934,13.029,0.000,1.528,10.376,0.643,0.000,0.000
Br62_rep6_Dep6_Tu0.3,26.210,0.000,0.000,0.000,0.649,49.486,2.172,0.000,0.124,14.652,6.707,0.000,0.000
Br62_rep9_Dep6_Tu0.3,16.479,0.000,0.000,0.363,0.323,64.983,0.000,0.000,0.074,0.309,17.469,0.000,0.000
Br62_rep2_Dep6_Tu20,4.604,0.000,21.317,1.823,7.065,41.509,12.707,0.000,0.000,0.000,10.975,0.000,0.000
Br62_rep6_Dep6_Tu0.5,5.690,0.000,0.000,0.000,0.779,56.866,15.417,0.000,3.755,13.618,3.875,0.000,0.000
Br62_rep8_Dep6_Tu10,9.069,0.000,9.342,0.216,4.127,51.060,10.128,0.000,7.479,0.000,2.146,0.000,6.433
Br62_rep2_Dep6_Tu0.1,14.049,0.000,0.000,0.000,1.852,53.120,0.263,0.000,2.146,17.508,11.060,0.000,0.000
Br62_rep5_Dep6_Tu10,12.412,0.000,16.365,0.853,15.872,41.914,4.977,0.000,0.000,0.000,7.607,0.000,0.000
Br62_rep10_Dep6_Tu10,6.525,0.000,10.850,0.144,5.432,47.239,5.234,0.000,11.120,8.275,5.181,0.000,0.000
Br62_rep4_Dep6_Tu10,14.086,0.000,9.824,0.818,5.292,49.986,1.647,0.000,0.000,0.000,18.346,0.000,0.000
Br62_rep3_Dep6_Tu0.1,22.061,0.000,0.000,0.000,7.317,51.817,1.781,0.000,0.000,11.416,5.608,0.000,0.000
Br62_rep2_Dep6_Tu50,0.000,0.000,45.088,8.248,9.400,23.826,0.000,0.000,0.000,0.000,13.437,0.000,0.000
Br62_rep9_Dep6_Tu10,16.694,0.000,0.000,3.214,7.268,50.664,4.132,0.000,0.000,13.863,4.165,0.000,0.000
Br62_rep5_Dep6_Tu0.3,12.081,0.000,0.000,0.000,10.928,45.802,0.834,0.000,17.308,10.877,2.160,0.009,0.000
Br62_rep8_Dep6_Tu50,1.761,0.000,43.001,10.479,18.039,18.188,0.751,0.000,0.000,0.000,7.781,0.000,0.000
Br62_rep4_Dep6_Tu0.3,17.055,0.000,0.000,0.000,0.477,55.963,7.126,0.000,0.213,6.789,12.372,0.000,0.004
